run_id,rsi_period,stoch_period_k,stoch_period_d,ema_filter_period,rsi_buy_threshold,stoch_buy_threshold,stop_loss_pct,take_profit_pct,leverage,status,windows,net_return_pct_avg,net_return_pct_min,net_return_pct_max,sharpe_avg,max_drawdown_avg,win_rate_avg,profit_factor_avg,sortino_avg,total_trades_sum,total_trades_avg,rank
137,8,14,5,200,0.3,30.0,0.025,0.075,3,ok,1,-10.84,-10.84,-10.84,-2.61,10.54,10.0,0.35,-12.67,10,10.0,730
23,8,8,5,150,0.15,15.0,0.02,0.1,3,ok,1,-10.84,-10.84,-10.84,-10.85,9.86,12.5,0.05,-104521.03,8,8.0,731
373,12,8,5,200,0.2,15.0,0.02,0.1,3,ok,1,-10.84,-10.84,-10.84,-10.85,9.86,12.5,0.05,-104521.03,8,8.0,732
113,8,14,3,150,0.3,15.0,0.02,0.1,3,ok,1,-10.85,-10.85,-10.85,-10.85,9.87,12.5,0.05,-101793.25,8,8.0,733
63,8,10,5,200,0.15,15.0,0.02,0.1,3,ok,1,-10.85,-10.85,-10.85,-10.85,9.87,12.5,0.05,-93584.51,8,8.0,734
753,16,10,5,200,0.3,15.0,0.02,0.1,3,ok,1,-10.85,-10.85,-10.85,-10.85,9.87,12.5,0.05,-93584.51,8,8.0,735
563,14,10,3,200,0.25,15.0,0.02,0.1,3,ok,1,-10.85,-10.85,-10.85,-10.85,9.87,12.5,0.05,-93584.51,8,8.0,736
217,10,10,3,150,0.3,30.0,0.025,0.075,3,ok,1,-10.86,-10.86,-10.86,-2.61,10.53,10.0,0.35,-12.67,10,10.0,737
337,10,16,5,150,0.3,30.0,0.025,0.075,3,ok,1,-10.86,-10.86,-10.86,-2.61,10.53,10.0,0.35,-12.67,10,10.0,738
97,8,12,5,150,0.3,30.0,0.025,0.075,3,ok,1,-10.87,-10.87,-10.87,-2.61,10.54,10.0,0.35,-12.67,10,10.0,739
410,12,10,5,200,0.3,15.0,0.015,0.05,3,ok,1,-10.99,-10.99,-10.99,-1.51,10.39,17.4,0.53,-32750.37,23,23.0,740
220,10,10,3,200,0.25,15.0,0.015,0.05,3,ok,1,-10.99,-10.99,-10.99,-1.51,10.39,17.4,0.53,-30733.43,23,23.0,741
850,16,16,5,150,0.3,15.0,0.015,0.05,3,ok,1,-11.04,-11.04,-11.04,-2.07,10.46,15.8,0.43,-41769.42,19,19.0,742
669,14,16,5,100,0.15,20.0,0.015,0.1,5,ok,1,-11.08,-11.08,-11.08,-8.9,10.13,14.3,0.08,-63644.54,7,7.0,743
629,14,14,3,200,0.15,20.0,0.015,0.1,5,ok,1,-11.08,-11.08,-11.08,-8.9,10.13,14.3,0.08,-63644.54,7,7.0,744
771,16,12,3,200,0.3,25.0,0.03,0.05,5,ok,1,-11.09,-11.09,-11.09,-0.91,16.97,28.6,0.71,-4.37,14,14.0,745
939,20,12,3,200,0.2,20.0,0.015,0.1,5,ok,1,-11.1,-11.1,-11.1,-8.9,10.15,14.3,0.08,-57376.02,7,7.0,746
490,12,16,3,150,0.3,15.0,0.015,0.05,3,ok,1,-11.1,-11.1,-11.1,-2.07,10.52,15.8,0.43,-41050.93,19,19.0,747
899,20,10,3,150,0.2,20.0,0.015,0.1,5,ok,1,-11.1,-11.1,-11.1,-8.9,10.15,14.3,0.08,-57376.02,7,7.0,748
1019,20,16,5,150,0.2,20.0,0.015,0.1,5,ok,1,-11.1,-11.1,-11.1,-8.9,10.15,14.3,0.08,-57376.02,7,7.0,749
531,14,8,3,200,0.3,25.0,0.03,0.05,5,ok,1,-11.1,-11.1,-11.1,-0.91,16.98,28.6,0.71,-4.37,14,14.0,750
979,20,14,5,100,0.2,20.0,0.015,0.1,5,ok,1,-11.1,-11.1,-11.1,-8.9,10.15,14.3,0.08,-57376.02,7,7.0,751
81,8,12,3,200,0.15,25.0,0.03,0.05,5,ok,1,-11.14,-11.14,-11.14,-0.91,17.02,28.6,0.71,-4.37,14,14.0,752
1,8,8,3,100,0.15,25.0,0.03,0.05,5,ok,1,-11.14,-11.14,-11.14,-0.91,17.02,28.6,0.71,-4.37,14,14.0,753
41,8,10,3,150,0.15,25.0,0.03,0.05,5,ok,1,-11.14,-11.14,-11.14,-0.91,17.02,28.6,0.71,-4.37,14,14.0,754
161,8,16,5,150,0.15,25.0,0.03,0.05,5,ok,1,-11.14,-11.14,-11.14,-0.91,17.02,28.6,0.71,-4.37,14,14.0,755
121,8,14,5,100,0.15,25.0,0.03,0.05,5,ok,1,-11.14,-11.14,-11.14,-0.91,17.02,28.6,0.71,-4.37,14,14.0,756
1179,24,16,3,200,0.2,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,757
191,10,8,5,100,0.2,25.0,0.03,0.05,5,ok,1,-11.15,-11.15,-11.15,-0.91,17.02,28.6,0.71,-4.37,14,14.0,758
1139,24,14,3,150,0.2,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,759
709,16,8,5,150,0.15,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,760
789,16,14,3,100,0.15,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,761
1099,24,12,3,100,0.2,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,762
231,10,10,5,150,0.2,25.0,0.03,0.05,5,ok,1,-11.15,-11.15,-11.15,-0.91,17.02,28.6,0.71,-4.37,14,14.0,763
311,10,16,3,100,0.2,25.0,0.03,0.05,5,ok,1,-11.15,-11.15,-11.15,-0.91,17.02,28.6,0.71,-4.37,14,14.0,764
461,12,14,3,200,0.25,25.0,0.03,0.05,5,ok,1,-11.15,-11.15,-11.15,-0.91,17.02,28.6,0.71,-4.37,14,14.0,765
829,16,16,3,150,0.15,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,766
1059,24,8,5,200,0.2,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,767
271,10,12,5,200,0.2,25.0,0.03,0.05,5,ok,1,-11.15,-11.15,-11.15,-0.91,17.02,28.6,0.71,-4.37,14,14.0,768
749,16,10,5,200,0.15,20.0,0.015,0.1,5,ok,1,-11.15,-11.15,-11.15,-8.9,10.17,14.3,0.08,-50618.55,7,7.0,769
712,16,8,5,150,0.25,20.0,0.025,0.075,3,ok,1,-11.65,-11.65,-11.65,-2.65,11.96,18.2,0.36,-67322.68,11,11.0,770
832,16,16,3,150,0.25,20.0,0.025,0.075,3,ok,1,-11.66,-11.66,-11.66,-2.65,11.97,18.2,0.36,-79997.72,11,11.0,771
752,16,10,5,200,0.25,20.0,0.025,0.075,3,ok,1,-11.66,-11.66,-11.66,-2.65,11.97,18.2,0.36,-79997.72,11,11.0,772
792,16,14,3,100,0.25,20.0,0.025,0.075,3,ok,1,-11.66,-11.66,-11.66,-2.65,11.97,18.2,0.36,-79997.72,11,11.0,773
205,10,8,5,200,0.3,25.0,0.015,0.05,3,ok,1,-11.67,-11.67,-11.67,-1.29,14.76,17.9,0.59,-27233.66,28,28.0,774
285,10,14,3,150,0.3,25.0,0.015,0.05,3,ok,1,-11.67,-11.67,-11.67,-1.29,14.76,17.9,0.59,-27059.89,28,28.0,775
165,8,16,5,150,0.3,25.0,0.015,0.05,3,ok,1,-11.68,-11.68,-11.68,-1.29,14.77,17.9,0.59,-29106.48,28,28.0,776
45,8,10,3,150,0.3,25.0,0.015,0.05,3,ok,1,-11.68,-11.68,-11.68,-1.29,14.77,17.9,0.59,-28941.86,28,28.0,777
296,10,14,5,100,0.3,15.0,0.03,0.05,5,ok,1,-11.7,-11.7,-11.7,-1.2,18.36,33.3,0.64,-45703.93,12,12.0,778
106,8,14,3,100,0.25,15.0,0.03,0.05,5,ok,1,-11.72,-11.72,-11.72,-1.2,18.38,33.3,0.64,-54089.88,12,12.0,779
56,8,10,5,100,0.3,15.0,0.03,0.05,5,ok,1,-11.74,-11.74,-11.74,-1.2,18.4,33.3,0.64,-55908.04,12,12.0,780
722,16,10,3,100,0.2,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-67356.07,11,11.0,781
522,14,8,3,150,0.2,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-64079.85,11,11.0,782
842,16,16,5,100,0.2,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-67356.07,11,11.0,783
872,20,8,3,200,0.25,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-64079.85,11,11.0,784
762,16,12,3,150,0.2,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-67356.07,11,11.0,785
802,16,14,3,200,0.2,20.0,0.025,0.075,3,ok,1,-11.74,-11.74,-11.74,-2.65,10.41,18.2,0.35,-67356.07,11,11.0,786
668,14,16,3,200,0.3,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,787
828,16,16,3,100,0.3,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,788
278,10,14,3,100,0.25,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,789
118,8,14,3,200,0.25,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,790
628,14,14,3,150,0.3,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,791
308,10,14,5,200,0.3,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,792
318,10,16,3,150,0.25,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,793
508,12,16,5,150,0.3,25.0,0.02,0.1,3,ok,1,-11.75,-11.75,-11.75,-22.5,10.22,0.0,0.0,-22.5,8,8.0,794
